year	title	tag0	tag1	tag2	tag3	tag4	tag5	tag6	tag7	tag8	tag9	tag10	tag11	tag12	tag13	tag14	tag15	tag16	tag17	tag18	tag19	tag20	tag21	tag22
2024	WorldAPIs: The World Is Worth How Many APIs? A Thought Experiment	CITY:Baltimore	DATA:Unstructured	DOMAIN:Program Synthesis	ENV:Other	ENV:Program Synthesis	LANGUAGE:EN	TASK:Grounded Task Execution	VENUE:ACL															
2017	World of Bits: An Open-Domain Platform for Web-Based Agents	CITY:Stanford	DATA:Symbolic	DOMAIN:Navigation	DOMAIN:Web	ENV:Web	LANGUAGE:EN	TASK:Grounded Task Execution	VENUE:ICML															
2019	WIQA: A dataset for “What if...” reasoning over procedural text	CITY:Seattle	DATA:Task-Centric	DOMAIN:Natural Processes	LANGUAGE:EN	TASK:Question Answering 	VENUE:EMNLP																	
2020	WikiLingua: A New Benchmark Dataset for Cross-Lingual Abstractive Summarization	CITY:New York City	DATA:Unstructured	DOMAIN:WikiHow	LANGUAGE:AR	LANGUAGE:CS	LANGUAGE:DE	LANGUAGE:EN	LANGUAGE:ES	LANGUAGE:FR	LANGUAGE:HI	LANGUAGE:ID	LANGUAGE:IT	LANGUAGE:JA	LANGUAGE:KO	LANGUAGE:NL	LANGUAGE:PT	LANGUAGE:RU	LANGUAGE:TH	LANGUAGE:TR	LANGUAGE:VI	LANGUAGE:ZH	TASK:Summarization	VENUE:EMNLP
2020	wikiHowToImprove: A Resource and Analyses on Edits in Instructional Texts	CITY:Stuttgart	DATA:Unstructured	DOMAIN:WikiHow	LANGUAGE:EN	TASK:Detecting and Correcting Implicit Statements	VENUE:LREC																	
2023	WikiHowQA: A Comprehensive Benchmark for Multi-Document Non-Factoid Question Answering	CITY:Melbourne	DATA:Unstructured	LANGUAGE:EN	TASK:Question Answering 	VENUE:ACL																		
2018	WikiHow: A Large Scale Text Summarization Dataset	CITY:Santa Barbara	DATA:Unstructured	DOMAIN:WikiHow	LANGUAGE:EN	TASK:Summarization	VENUE:Arxiv																	
2018	What Happened? Leveraging VerbNet to Predict the Effects of Actions in Procedural Text	CITY:Seattle	DATA:Unstructured	DOMAIN:Cooking	DOMAIN:Scientific Procedures	LANGUAGE:EN	TASK:Detecting and Correcting Implicit Statements	TASK:Entity Tracking	VENUE:Arxiv															
2022	WebShop: Towards Scalable Real-World Web Interaction with Grounded Language Agents	CITY:Princeton	DATA:Symbolic	DOMAIN:Web	ENV:Web	LANGUAGE:EN	TASK:Grounded Task Execution	VENUE:NEURIPS																
2021	WebGPT: Browser-assisted question-answering with human feedback	CITY:San Francisco	DATA:Unstructured	DOMAIN:Web	ENV:Web	LANGUAGE:EN	TASK:Grounded Task Execution	VENUE:Arxiv																
2023	WebArena: A Realistic Web Environment for Building Autonomous Agents	CITY:Pittsburgh	DATA:Symbolic	DOMAIN:Web	ENV:Web	LANGUAGE:EN	TASK:Grounded Task Execution	VENUE:ICLR																
2013	Weakly Supervised Learning of Semantic Parsers for Mapping Instructions to Actions	CITY:Seattle	DATA:Symbolic	DOMAIN:Navigation	ENV:Navigation	LANGUAGE:EN	TASK:Grounded Task Execution	VENUE:TACL																
2006	Walk the Talk: Connecting Language, Knowledge, and Action in Route Instructions ∗	CITY:Austin	DATA:Symbolic	DOMAIN:Navigation	ENV:Navigation	LANGUAGE:EN	TASK:Grounded Task Execution	VENUE:AAAI																
2021	Visual Goal-Step Inference using wikiHow	CITY:Philadelphia	DATA:Unstructured	DOMAIN:WikiHow	LANGUAGE:EN	TASK:Question Answering 	VENUE:EMNLP																	
2018	Vision-and-Language Navigation: Interpreting visually-grounded navigation instructions in real environments	CITY:Canberra	DATA:Symbolic	DOMAIN:Navigation	DOMAIN:Robotic	ENV:Navigation	LANGUAGE:EN	TASK:Grounded Task Execution	VENUE:CVPR															
2018	VirtualHome: Simulating Household Activities via Programs	CITY:Cambridge Massachusetts	DATA:Symbolic	DOMAIN:Cooking	DOMAIN:Household	ENV:Navigation	LANGUAGE:EN	TASK:Grounded Task Execution	VENUE:IEEE/CVF															
2021	UnImplicit Shared Task Report: Detecting Clarification Requirements in Instructional Text	CITY:Stuttgart	DATA:Unstructured	LANGUAGE:EN	TASK:Detecting and Correcting Implicit Statements	VENUE:NAACL																		
2011	Understanding Natural Language Commands for Robotic Navigation and Mobile Manipulation	CITY:Cambridge Massachusetts	DATA:Task-Centric	DOMAIN:Navigation	DOMAIN:Robotic	ENV:Robotics	LANGUAGE:EN	TASK:Grounded Task Execution	VENUE:AAAI															
2022	ULN: Towards Underspecified Vision-and-Language Navigation	CITY:Santa Barbara	DATA:Unstructured	DOMAIN:Navigation	ENV:Navigation	LANGUAGE:EN	TASK:Detecting and Correcting Implicit Statements	TASK:Grounded Task Execution	VENUE:EMNLP															
2018	Translating Navigation Instructions in Natural Language to a High-Level Plan for Behavioral Robot Navigation	CITY:Stanford	DATA:Symbolic	DOMAIN:Navigation	DOMAIN:Robotic	ENV:Navigation	LANGUAGE:EN	TASK:Grounded Task Execution	VENUE:EMNLP															
2018	Tracking State Changes in Procedural Text: A Challenge Dataset and Models for Process Paragraph Comprehension	CITY:Seattle	DATA:Entity-Centric	DOMAIN:Everyday Activities	LANGUAGE:EN	TASK:Entity Tracking	VENUE:NAACL																	
2021	Tracking entities in technical procedures -- a new dataset and baselines	CITY:New Delhi	DATA:Entity-Centric	DOMAIN:Technical Manual	LANGUAGE:EN	TASK:Entity Tracking	VENUE:Arxiv																	
2015	Towards AI-Complete Question Answering: A Set of Prerequisite Toy Tasks	CITY:Menlo Park	DATA:Unstructured	DOMAIN:Synthetic	LANGUAGE:EN	LANGUAGE:HI	TASK:Question Answering 	VENUE:ICLR																
2021	Tiered Reasoning for Intuitive Physics: Toward Verifiable Commonsense Language Understanding	CITY:Ann Arbor	DATA:Entity-Centric	DOMAIN:Physical Interaction	DOMAIN:Synthetic	LANGUAGE:EN	TASK:Question Answering 	VENUE:EMNLP																
2019	The Materials Science Procedural Text Corpus: Annotating Materials Synthesis Procedures with Shallow Semantic Structures	CITY:Amherst	DATA:Entity-Centric	DATA:Task-Centric	DOMAIN:Scientific Procedures	LANGUAGE:EN	TASK:Instruction Parsing	VENUE:ACL																
2023	The Entity-Deduction Arena: A playground for probing the conversational reasoning and planning capabilities of LLMs	CITY:California	DATA:Entity-Centric	LANGUAGE:EN	TASK:Question Answering 	VENUE:ACL																		
2023	The Coreference under Transformation Labeling Dataset: Entity Tracking in Procedural Texts Using Event Models	CITY:Waltham	DATA:Task-Centric	LANGUAGE:EN	TASK:Entity Tracking	VENUE:ACL																		
2018	TextWorld: A Learning Environment for Text-based Games	CITY:Mountain View	DATA:Entity-Centric	DOMAIN:Gaming	ENV:Game	LANGUAGE:EN	TASK:Grounded Task Execution	VENUE:CGW@IJCAI																
2016	Tell me Dave: Context-sensitive grounding of natural language to manipulation instructions	CITY:Ithaca	DATA:Symbolic	DOMAIN:Robotic	ENV:Robotics	LANGUAGE:EN	TASK:Grounded Task Execution	VENUE:The International Journal of Robotics Resear																
2021	TEACh: Task-driven Embodied Agents that Chat	CITY:Sunnyvale	DATA:Symbolic	DOMAIN:Household	LANGUAGE:EN	TASK:Grounded Task-Oriented Dialogue	VENUE:AAAI																	
2023	Task2KB: A Public Task-Oriented Knowledge Base	CITY:Liverpool	DATA:Task-Centric	LANGUAGE:EN	TASK:Knowledge Acquisition	VENUE:AAAI																		
2022	Task2Dial: A Novel Task and Dataset for Commonsense enhanced Task-based Dialogue Grounded in Documents	CITY:Edinburgh	DATA:Unstructured	LANGUAGE:EN	TASK:Grounded Task-Oriented Dialogue	VENUE:ACL																		
2021	Supplementing Omitted Named Entities in Cooking Procedural Text with Attached Images	CITY:Hong Kong	CITY:Kyoto	DATA:Entity-Centric	DATA:Task-Centric	DOMAIN:Cooking	LANGUAGE:ZH	TASK:Detecting and Correcting Implicit Statements	VENUE:Conference on Multimedia Information Process															
2022	Summarizing a virtual robot's past actions in natural language	CITY:New York City	DATA:Symbolic	LANGUAGE:EN	TASK:Summarization	VENUE:CoRL																		
2021	Structure-Aware Procedural Text Generation From an Image Sequence	CITY:Kyoto	DATA:Unstructured	DOMAIN:Cooking	LANGUAGE:EN	TASK:Procedural Generation	VENUE:IEEE Access																	
2023	SmartPlay: A Benchmark for LLMs as Intelligent Agents	CITY:Champaign	DATA:Symbolic	DOMAIN:Gaming	ENV:Game	LANGUAGE:EN	TASK:Grounded Task Execution	VENUE:ICLR																
2017	Simulating Action Dynamics with Neural Process Networks	CITY:Seattle	DATA:Entity-Centric	DOMAIN:Robotic	LANGUAGE:EN	TASK:Entity Tracking	VENUE:ICLR																	
2016	Simpler Context-Dependent Logical Forms via Model Projections	CITY:Stanford	DATA:Symbolic	DOMAIN:Logical Reasoning	LANGUAGE:EN	TASK:Entity Tracking	VENUE:ACL																	
2022	Show Me More Details: Discovering Hierarchies of Procedures from Semi-structured Web Data	CITY:Pittsburgh	DATA:Task-Centric	DOMAIN:Everyday Activities	LANGUAGE:EN	TASK:Instruction Parsing	VENUE:ACL																	
2017	Sequence to Sequence Learning for Event Prediction	CITY:Sydney	DATA:Unstructured	DOMAIN:WikiHow	TASK:Procedural Generation	VENUE:IJCNLP																		
2023	ScriptWorld: Text Based Environment For Learning Procedural Knowledge	CITY:Kanpur	DATA:Task-Centric	DOMAIN:Gaming	ENV:Game	LANGUAGE:EN	TASK:Grounded Task Execution	VENUE:IJCAI																
2024	SayNav: Grounding Large Language Models for Dynamic Planning to Navigation in New Environments	CITY:Princeton	DATA:Entity-Centric	DOMAIN:Navigation	ENV:Navigation	LANGUAGE:EN	TASK:Grounded Task Execution	VENUE:ICAPS																
2019	REVERIE: Remote Embodied Visual Referring Expression in Real Indoor Environments	CITY:Adelaide	DATA:Symbolic	DOMAIN:Navigation	ENV:Navigation	LANGUAGE:EN	TASK:Grounded Task Execution	VENUE:CVPR																
2021	REVE-CE: Remote Embodied Visual Referring Expression in Continuous Environment	CITY:Beijing	DATA:Symbolic	DOMAIN:Navigation	ENV:Navigation	LANGUAGE:EN	TASK:Grounded Task Execution	VENUE:IEEE Robotics and Automation Letters																
